 kgrid  ValNew  Policy 
    0.85 -18.6226     0.85
0.850008 -18.6215     0.85
0.850017 -18.6204     0.85
0.850025 -18.6193     0.85
0.850033 -18.6182     0.85
0.850042 -18.6171     0.85
 0.85005  -18.616     0.85
0.850058 -18.6149     0.85
0.850067 -18.6138     0.85
0.850075 -18.6126     0.85
0.850083 -18.6115     0.85
0.850092 -18.6104     0.85
  0.8501 -18.6093     0.85
0.850108 -18.6082     0.85
0.850117 -18.6071     0.85
0.850125  -18.606     0.85
0.850133 -18.6049     0.85
0.850142 -18.6038     0.85
 0.85015 -18.6027     0.85
0.850158 -18.6016     0.85
0.850167 -18.6005     0.85
0.850175 -18.5994     0.85
0.850183 -18.5982     0.85
0.850192 -18.5971     0.85
  0.8502  -18.596     0.85
0.850208 -18.5949     0.85
0.850217 -18.5938     0.85
0.850225 -18.5927     0.85
0.850233 -18.5916     0.85
0.850242 -18.5905     0.85
 0.85025 -18.5894     0.85
0.850258 -18.5883     0.85
0.850267 -18.5872     0.85
0.850275 -18.5861     0.85
0.850283  -18.585     0.85
0.850292 -18.5839     0.85
  0.8503 -18.5828     0.85
0.850308 -18.5817     0.85
0.850317 -18.5806     0.85
0.850325 -18.5794     0.85
0.850333 -18.5783     0.85
0.850342 -18.5772     0.85
 0.85035 -18.5761     0.85
0.850358  -18.575     0.85
0.850367 -18.5739     0.85
0.850375 -18.5728     0.85
0.850383 -18.5717     0.85
0.850392 -18.5706     0.85
  0.8504 -18.5695     0.85
0.850408 -18.5684     0.85
0.850417 -18.5673     0.85
0.850425 -18.5662     0.85
0.850433 -18.5651     0.85
0.850442  -18.564     0.85
 0.85045 -18.5629     0.85
0.850458 -18.5618     0.85
0.850467 -18.5607     0.85
0.850475 -18.5596     0.85
0.850483 -18.5585     0.85
0.850492 -18.5574     0.85
  0.8505 -18.5563     0.85
0.850508 -18.5552     0.85
0.850517 -18.5541     0.85
0.850525  -18.553     0.85
0.850533 -18.5519     0.85
0.850542 -18.5508     0.85
 0.85055 -18.5497     0.85
0.850558 -18.5486     0.85
0.850567 -18.5475     0.85
0.850575 -18.5464     0.85
0.850583 -18.5453     0.85
0.850592 -18.5442     0.85
  0.8506 -18.5431     0.85
0.850608  -18.542     0.85
0.850617 -18.5409     0.85
0.850625 -18.5398     0.85
0.850633 -18.5387     0.85
0.850642 -18.5376     0.85
 0.85065 -18.5365     0.85
0.850658 -18.5354     0.85
0.850667 -18.5343     0.85
0.850675 -18.5332     0.85
0.850683 -18.5321     0.85
0.850692  -18.531     0.85
  0.8507 -18.5299     0.85
0.850708 -18.5288     0.85
0.850717 -18.5277     0.85
0.850725 -18.5266     0.85
0.850733 -18.5255     0.85
0.850742 -18.5244     0.85
 0.85075 -18.5233     0.85
0.850758 -18.5222     0.85
0.850767 -18.5211     0.85
0.850775   -18.52     0.85
0.850783 -18.5189     0.85
0.850792 -18.5178     0.85
  0.8508 -18.5167     0.85
0.850808 -18.5156     0.85
0.850817 -18.5145     0.85
0.850825 -18.5134     0.85
0.850833 -18.5123     0.85
0.850842 -18.5112     0.85
 0.85085 -18.5101     0.85
0.850858  -18.509     0.85
0.850867 -18.5079     0.85
0.850875 -18.5068     0.85
0.850883 -18.5057     0.85
0.850892 -18.5046     0.85
  0.8509 -18.5036     0.85
0.850908 -18.5025     0.85
0.850917 -18.5014     0.85
0.850925 -18.5003     0.85
0.850933 -18.4992     0.85
0.850942 -18.4981     0.85
 0.85095  -18.497     0.85
0.850958 -18.4959     0.85
0.850967 -18.4948     0.85
0.850975 -18.4937     0.85
0.850983 -18.4926     0.85
0.850992 -18.4915     0.85
   0.851 -18.4904     0.85
0.851008 -18.4893     0.85
0.851017 -18.4882     0.85
0.851025 -18.4871     0.85
0.851033  -18.486     0.85
0.851042  -18.485     0.85
 0.85105 -18.4839     0.85
0.851058 -18.4828     0.85
0.851067 -18.4817     0.85
0.851075 -18.4806     0.85
0.851083 -18.4795     0.85
0.851092 -18.4784     0.85
  0.8511 -18.4773     0.85
0.851108 -18.4762     0.85
0.851117 -18.4751     0.85
0.851125  -18.474     0.85
0.851133 -18.4729     0.85
0.851142 -18.4718     0.85
 0.85115 -18.4708     0.85
0.851158 -18.4697     0.85
0.851167 -18.4686     0.85
0.851175 -18.4675     0.85
0.851183 -18.4664     0.85
0.851192 -18.4653     0.85
  0.8512 -18.4642     0.85
0.851208 -18.4631     0.85
0.851217  -18.462     0.85
0.851225 -18.4609     0.85
0.851233 -18.4598     0.85
0.851242 -18.4588     0.85
 0.85125 -18.4577     0.85
0.851258 -18.4566     0.85
0.851267 -18.4555     0.85
0.851275 -18.4544     0.85
0.851283 -18.4533     0.85
0.851292 -18.4522     0.85
  0.8513 -18.4511     0.85
0.851308   -18.45     0.85
0.851317  -18.449     0.85
0.851325 -18.4479     0.85
0.851333 -18.4468     0.85
0.851342 -18.4457     0.85
